motivation,motivation_pr,motivation_pol,motivation_sub
Inspiration and getting out of your comfort zone,inspiration getting comfort zone,0.0,0.0
Exploring cultures,exploring culture,0.0,0.0
"Wildlife, food, scenery, warmer weather, swimming in warmer water!",wildlife food scenery warmer weather swimming warmer water,0.0,0.0
Lolz,old,0.1,0.2
Memories,memory,0.0,0.0
Culture and nature,culture nature,0.0,0.0
Variety,variety,0.0,0.0
"To see what the world has to offer, every single different aspect of every culture, country and continent. Just wanna know how thwe world works and looks in every different place.",world offer every single aspect every culture country continent anna know the world work look every place,-0.07142857142857142,0.21428571428571427
New experiences ,new,0.13636363636363635,0.45454545454545453
"getting out of my home country, seeing the world, food, better weather",getting home country world food better weather,0.5,0.5
" can't think of anything that excites a greater sense of childlike wonder than to be in a country where you are ignorant of almost everything. Suddenly you are five years old again. You can't read anything, you have only the most rudimentary sense of how things work, you can't even reliably cross a street without endangering your life. Your whole existence becomes a series of interesting guesses.” ",can think anything excites greater sense childlike wonder country ignorant almost everything suddenly five year old can read anything rudimentary sense work can even reliable cross street without endangering life whole existence becomes series interesting guess,0.21666666666666667,0.35000000000000003
New experiences ,new,0.13636363636363635,0.45454545454545453
"Adrenaline Rush, Curiosity, Wanderlust",adrenalin rush curiosity wanderlust,0.0,0.0
culture and food,culture food,0.0,0.0
experiences,,0.0,0.0
Boredom,boredom,0.0,0.0
Pictures of amazing places,picture amazing place,0.6000000000000001,0.9
Discovery,discovery,0.0,0.0
food and architecture,food architecture,0.0,0.0
"Seeing geological sites, friends in far places",geological site friend far place,0.1,1.0
Exploring cultures that differ from my own,exploring culture differ,0.0,0.0
Discovery,discovery,0.0,0.0
Good question. ,good question,0.7,0.6000000000000001
Exploring other cultures,exploring culture,0.0,0.0
FOMO,domo,0.0,0.0
"Photography, seeing beautiful things across the world ",photography beautiful across world,0.85,1.0
Get to know the World,get know world,0.0,0.0
Need to utilize my industry discount,need utilize industry discount,0.0,0.0
Nothing ,nothing,0.0,0.0
seeing new places,new place,0.13636363636363635,0.45454545454545453
Fun,,0.0,0.0
"New experiences, love",new love,0.3181818181818182,0.5272727272727272
fun,,0.0,0.0
There's so much to see,there much,0.2,0.2
Experiences,,0.0,0.0
New adventure with my husband ,new adventure husband,0.13636363636363635,0.45454545454545453
Relaxation,relaxation,0.0,0.0
Food,food,0.0,0.0
"Food, animals, hiking",food animal hiding,0.0,0.0
Because when else will I ,else,0.0,0.0
Exploring,exploring,0.0,0.0
Curiosity,curiosity,0.0,0.0
New cultures,new culture,0.13636363636363635,0.45454545454545453
Relax,relax,0.0,0.0
"Diving, road trips, nature",diving road trip nature,0.0,0.0
To escape and to have stories to tell.,escape story tell,0.0,0.0
Adventure and curiosity,adventure curiosity,0.0,0.0
curiosity and food,curiosity food,0.0,0.0
Seeing new things,new,0.13636363636363635,0.45454545454545453
adventure,adventure,0.0,0.0
Beautiful small place and cheap ,beautiful small place cheap,0.3333333333333333,0.6999999999999998
"sights, getting away from home",sight getting away home,0.0,0.0
Experiance new cultures and photography,new culture photography,0.13636363636363635,0.45454545454545453
Explore new places and culture,explore new place culture,0.13636363636363635,0.45454545454545453
Seeing and learning knew things,learning knew,0.0,0.0
Experience new things ,new,0.13636363636363635,0.45454545454545453
To experience new cultures and nature ,new culture nature,0.13636363636363635,0.45454545454545453
Seeing new places,new place,0.13636363636363635,0.45454545454545453
Wanderlust I guess.,wanderlust guess,0.0,0.0
To explore the world,explore world,0.0,0.0
"New culture, good food",new culture good food,0.41818181818181815,0.5272727272727273
to see new things,new,0.13636363636363635,0.45454545454545453
Different cultures and interesting places,culture interesting place,0.5,0.5
So much to see so little time,much little time,-0.1875,0.5
See new things and experience other cultures in person,new culture person,0.13636363636363635,0.45454545454545453
"Seeing the world, connecting with new cultures.",world connecting new culture,0.13636363636363635,0.45454545454545453
Adventure,adventure,0.0,0.0
Not work,work,0.0,0.0
Culture,culture,0.0,0.0
"The unknown, different food, different cultures",unknown food culture,-0.1,0.6
"Experiencing different cultures, food",experiencing culture food,0.0,0.0
Getting different vibes from architecture and culture,getting vice architecture culture,0.0,0.0
"Food, culture",food culture,0.0,0.0
Adventure,adventure,0.0,0.0
Experiencing art and culture.,experiencing art culture,0.0,0.0
To understand references,understand reference,0.0,0.0
Food and culture,food culture,0.0,0.0
"Family, fun",family,0.0,0.0
Life Experience,life,0.0,0.0
To see life,life,0.0,0.0
Happiness,happiness,0.7,0.2
Freedom,freedom,0.0,0.0
pleasure,pleasure,0.0,0.0
Discovery,discovery,0.0,0.0
"Experience new cultures,see scenic locations",new culture scene location,0.13636363636363635,0.45454545454545453
To eat new things and see cool shit,eat new cool shit,0.09545454545454544,0.6348484848484849
Escape from day to day life,escape day day life,0.0,0.0
"Food, Photography",food photography,0.0,0.0
Food,food,0.0,0.0
A desire to see the world,desire world,0.0,0.0
To see the beauty of the world,beauty world,0.0,0.0
Discovery ,discovery,0.0,0.0
Learning,learning,0.0,0.0
"Seeing new things, meeting new people, and getting a new perspective. ",new meeting new people getting new perspective,0.13636363636363635,0.45454545454545453
Meeting new people and learning new things; plus new food!,meeting new people learning new plus new food,0.13636363636363635,0.45454545454545453
Food,food,0.0,0.0
I am a tourism management student,tourism management student,0.0,0.0
Seeing new things,new,0.13636363636363635,0.45454545454545453
Learning,learning,0.0,0.0
New experiences and sights ,new sight,0.13636363636363635,0.45454545454545453
Experience life outside my daily routine,life outside daily routine,0.0,0.025
I work as a tour guide in foreign countries and I love it,work tour guide foreign country love,0.1875,0.3625
Experience,,0.0,0.0
"I want to see the landscapes around the world that I don't get to see at home. I'm from Ohio, so I don't see much extreme landscape.",want landscape around world dont get home in ohio dont much extreme landscape,-0.125,1.0
Seeing different cultures and weather,culture weather,0.0,0.0
Landscapes and adventure,landscape adventure,0.0,0.0
Exploration of the world,exploration world,0.0,0.0
See new places and experiences ,new place,0.13636363636363635,0.45454545454545453
food+photography,food photography,0.0,0.0
Food!,food,0.0,0.0
See new places,new place,0.13636363636363635,0.45454545454545453
Food; sightseeing; Instagram,food sightseeing instagram,0.0,0.0
adventure,adventure,0.0,0.0
Relaxation,relaxation,0.0,0.0
idk,ink,0.0,0.0
Experiencing new places and people.,experiencing new place people,0.13636363636363635,0.45454545454545453
seeing the world and its beauties,world beauty,0.0,0.0
Nature,nature,0.0,0.0
It is fun.,,0.0,0.0
"food, observing lifestyle of others, culture, scenery, relaxation",food observing lifestyle others culture scenery relaxation,0.0,0.0
curiosity,curiosity,0.0,0.0
Learning ,learning,0.0,0.0
Wonderment,wonderment,0.0,0.0
so fun,,0.0,0.0
Experience different cultures,culture,0.0,0.0
Natural beauty,natural beauty,0.1,0.4
Curiousity,curiosity,0.0,0.0
"See new things, eat new food, and experience new things",new eat new food new,0.13636363636363635,0.45454545454545453
New cultures and experiences,new culture,0.13636363636363635,0.45454545454545453
Addiction,addition,0.0,0.0
Exploration and adventure,exploration adventure,0.0,0.0
Fun,,0.0,0.0
New Experiences and People ,new people,0.13636363636363635,0.45454545454545453
Exploration,exploration,0.0,0.0
Making memories,making memory,0.0,0.0
Discovering new places + R&R,discovering new place or,0.13636363636363635,0.45454545454545453
"See new things, meet new people",new meet new people,0.13636363636363635,0.45454545454545453
Photography,photography,0.0,0.0
Exploring.,exploring,0.0,0.0
Searching far and wide,searching far wide,0.0,0.7
Exploration,exploration,0.0,0.0
Experiencing new culutres,experiencing new culture,0.13636363636363635,0.45454545454545453
To make memories,make memory,0.0,0.0
FUN,,0.0,0.0
Passion,passion,0.0,0.0
Change of scenery,change scenery,0.0,0.0
Curiosity,curiosity,0.0,0.0
To experience as much of the world as I can ,much world,0.2,0.2
Discover,discover,0.0,0.0
Leisure,leisure,0.0,0.0
A sense of adventure ,sense adventure,0.0,0.0
"Scenery, curiosity",scenery curiosity,0.0,0.0
To see the world,world,0.0,0.0
"Exploring new places, meeting new people",exploring new place meeting new people,0.13636363636363635,0.45454545454545453
"History, design and communicating with people",history design communicating people,0.0,0.0
"New experiences, new cultures",new new culture,0.13636363636363635,0.45454545454545453
See cool shit,cool shit,0.07499999999999998,0.7250000000000001
new experiences,new,0.13636363636363635,0.45454545454545453
"Experiencing new places, cultures, food, art, sights",experiencing new place culture food art sight,0.13636363636363635,0.45454545454545453
My primary source for learning about the world,primary source learning world,0.4,0.5
Discovery,discovery,0.0,0.0
New experiences,new,0.13636363636363635,0.45454545454545453
Exploration ,exploration,0.0,0.0
Beautiful places ,beautiful place,0.85,1.0
idk,ink,0.0,0.0
To see what the world has to offer,world offer,0.0,0.0
Longing for change of scenery,longing change scenery,0.0,0.0
"culture, food, adventures",culture food adventure,0.0,0.0
To experience new things.,new,0.13636363636363635,0.45454545454545453
"Cheaper than where I was living, the world is a big place and I want to see what's there",cheaper living world big place want what,0.0,0.1
Sights. Food. Adventure,sight food adventure,0.0,0.0
"Culture, food, meeting new people",culture food meeting new people,0.13636363636363635,0.45454545454545453
the experience,,0.0,0.0
Can’t stay put at home - need to see everything,can stay put home need everything,0.0,0.0
Recreation. Discovery.,recreation discovery,0.0,0.0
Experience different cultures,culture,0.0,0.0
I want to experience the world outside of my home country.,want world outside home country,0.0,0.05
Fun,,0.0,0.0
Food,food,0.0,0.0
Meeting people experience other cultures and beeing in the nature ,meeting people culture being nature,0.0,0.0
new adventures/foods,new adventure food,0.13636363636363635,0.45454545454545453
I love to see knew things and explore other cultures ,love knew explore culture,0.5,0.6
"Culture, food, new experiences",culture food new,0.13636363636363635,0.45454545454545453
break from work,break work,0.0,0.0
adventure,adventure,0.0,0.0
New experiences and photography,new photography,0.13636363636363635,0.45454545454545453
New Experiences and Culture,new culture,0.13636363636363635,0.45454545454545453
Fun,,0.0,0.0
joy,joy,0.8,0.2
Yes,yes,0.0,0.0
New cultures and people,new culture people,0.13636363636363635,0.45454545454545453
Experiences,,0.0,0.0
The feeling of discovery,feeling discovery,0.0,0.0
Curiousity,curiosity,0.0,0.0
Girlfriend,girlfriend,0.0,0.0
"New cultures, pretty sights",new culture pretty sight,0.19318181818181818,0.7272727272727273
Desire to explore,desire explore,0.0,0.0
Culture and food and new people,culture food new people,0.13636363636363635,0.45454545454545453
Food,food,0.0,0.0
"Relaxation, new experiences, cultural exchange",relaxation new cultural exchange,0.11818181818181818,0.2772727272727273
Nature and food,nature food,0.0,0.0
Adventure and curiosity,adventure curiosity,0.0,0.0
Learn about other cultures and experience the treasures of humanity. ,learn culture treasure humanity,0.0,0.0
New experiences,new,0.13636363636363635,0.45454545454545453
To see beautiful places and try new things.,beautiful place try new,0.49318181818181817,0.7272727272727273
"I want to see the world in my lifetime. We only have one life, better make use of it!",want world lifetime one life better make use,0.5,0.5
Adventure,adventure,0.0,0.0
See the wurld,world,0.0,0.0
Seeing the world and meeting new people,world meeting new people,0.13636363636363635,0.45454545454545453
Fun,,0.0,0.0
Curiosity,curiosity,0.0,0.0
"New cultures, the adrenaline of experiences completely outside the norm of your culture, beautiful scenery ",new culture adrenalin completely outside norm culture beautiful scenery,0.3287878787878788,0.5015151515151515
New experiences,new,0.13636363636363635,0.45454545454545453
"Nature and food, mostly.",nature food mostly,0.5,0.5
"New experiences, new people, new food",new new people new food,0.13636363636363635,0.45454545454545453
Attractions ,attraction,0.0,0.0
love for exploring new things,love exploring new,0.3181818181818182,0.5272727272727272
To see a different culture,culture,0.0,0.0
Seeing new cultures and meeting new people,new culture meeting new people,0.13636363636363635,0.45454545454545453
"I am fortunate enough to be able to do so, so I do.",fortunate enough able,0.3,0.6083333333333333
History and culture,history culture,0.0,0.0
Breaking my routine ,breaking routine,0.0,0.0
Learning more about the world.,learning world,0.0,0.0
New experiences,new,0.13636363636363635,0.45454545454545453
Adventure,adventure,0.0,0.0
Seeing nature and discovering new cultures,nature discovering new culture,0.13636363636363635,0.45454545454545453
Discovery,discovery,0.0,0.0
Exploration,exploration,0.0,0.0
New experiences,new,0.13636363636363635,0.45454545454545453
Adventure,adventure,0.0,0.0
Experiences,,0.0,0.0
See the world while youngish,world youngest,0.0,0.0
Experiences,,0.0,0.0
Exploring new countries and landscapes ,exploring new country landscape,0.13636363636363635,0.45454545454545453
Experience,,0.0,0.0
Explore ,explore,0.0,0.0
A desire to see as much of the world and meet as many people as possible.,desire much world meet many people possible,0.2333333333333333,0.5666666666666667
I like to explore new parts of the world,like explore new part world,0.13636363636363635,0.45454545454545453
New experiences,new,0.13636363636363635,0.45454545454545453
Work,work,0.0,0.0
Opportunity to explore,opportunity explore,0.0,0.0
see the world,world,0.0,0.0
"History, relics",history relic,0.0,0.0
curiosity,curiosity,0.0,0.0
"learning, experiences",learning,0.0,0.0
"It makes me feel alive. I love seeing new places, landscapes, nature, history, culture. My goal in life is to see as much of this world as I can :)",make feel alive love new place landscape nature history culture goal life much world,0.23409090909090907,0.41363636363636364
Adventure and interest in the world ,adventure interest world,0.0,0.0
Discovering cultures and meeting new people ,discovering culture meeting new people,0.13636363636363635,0.45454545454545453
Exploring; Culture,exploring culture,0.0,0.0
I want to see different cultures and meet new people,want culture meet new people,0.13636363636363635,0.45454545454545453
"To see new things, be somewhere different",new somewhere,0.13636363636363635,0.45454545454545453
Experiencing new things,experiencing new,0.13636363636363635,0.45454545454545453
Scenery,scenery,0.0,0.0
"Freedom, Stress relief, Beauty",freedom stress relief beauty,0.0,0.0
I travel with my soulmate. I love exploring our world together,travel soulmate love exploring world together,0.5,0.6
Beaches ,reach,0.0,0.0
Visiting every country in the world ,visiting every country world,0.0,0.0
"Wanderlust, experiencing other cultures. ",wanderlust experiencing culture,0.0,0.0
"adventure, relaxation, new experiences, be more in nature, see the world",adventure relaxation new nature world,0.13636363636363635,0.45454545454545453
New experiences ,new,0.13636363636363635,0.45454545454545453
google maps,goose map,0.0,0.0
Exploring the world and different cultures,exploring world culture,0.0,0.0
Passion to explore new places and cultures,passion explore new place culture,0.13636363636363635,0.45454545454545453
See other cultures & ecosystems/landscapes,culture ecosystems landscapes,0.0,0.0
"Food, religion, history, scenery",food religion history scenery,0.0,0.0
"I love nature, so not the biggest city guy. Mostly just seeing different types of nature and areas",love nature biggest city guy mostly type nature area,0.5,0.55
Love of new culture and experience,love new culture,0.3181818181818182,0.5272727272727272
Kite!,kite,0.0,0.0
Experiencing the culture and history of somewhere different.,experiencing culture history somewhere,0.0,0.0
"seeing new places, people, getting out of my own routine life",new place people getting routine life,0.13636363636363635,0.45454545454545453
"Travel promotes growth, I am always trying to grow",travel promotes growth always trying grow,0.0,0.0
Exploration and Personal Growth,exploration personal growth,0.0,0.3
Exploring different cultures and climates,exploring culture climate,0.0,0.0
Exciting. See new people and visit new places!,exciting new people visit new place,0.19090909090909092,0.5696969696969697
New experiences.,new,0.13636363636363635,0.45454545454545453
Seeing different cultures and/or relax,culture ardor relax,0.0,0.0
"See new places, eat new food",new place eat new food,0.13636363636363635,0.45454545454545453
"History, art, culture, food and natural beauty",history art culture food natural beauty,0.1,0.4
i have no motivation,motivation,0.0,0.0
Beautiful landscapes,beautiful landscape,0.85,1.0
"Seeing places, culture, food",place culture food,0.0,0.0
exposure to different cultures and natural beauty ,exposure culture natural beauty,0.1,0.4
Getting new experiences,getting new,0.13636363636363635,0.45454545454545453
To experience beyond my usual surroundings ,beyond usual surroundings,-0.25,0.25
"History, good views",history good view,0.7,0.6000000000000001
"New experiences, food, amazing landscapes, adventure activities",new food amazing landscape adventure activity,0.3681818181818182,0.6772727272727272
Wanting to see more of the world,wanting world,0.0,0.0
"Moving from the US, India hit me square in the face. It was an exhilarating experience. And got me hooked to the feeling. This addiction motivates me. ",moving u india hit square face exhilarating got hooked feeling addition motivate,0.7,0.9
"I want to explore the world, see new sights, and meet new people. ",want explore world new sight meet new people,0.13636363636363635,0.45454545454545453
To see the world and open my mind,world open mind,0.0,0.5
Relax/recharge,relaxrecharge,0.0,0.0
Seeing the world & experiencing cultures - short lived high intensity experiences,world experiencing culture short lived high intensity,0.08,0.41999999999999993
Nature,nature,0.0,0.0
Passion and wanderlusy,passion wanderlusy,0.0,0.0
Adventure,adventure,0.0,0.0
Having fun and great adventures with  friends and family.,great adventure friend family,0.8,0.75
Seeing new things ,new,0.13636363636363635,0.45454545454545453
Learning about culture and history,learning culture history,0.0,0.0
Get away from my city,get away city,0.0,0.0
living,living,0.0,0.0
adventure and sight seeing,adventure sight,0.0,0.0
The experience.,,0.0,0.0
passion,passion,0.0,0.0
Seeing new things,new,0.13636363636363635,0.45454545454545453
family visit,family visit,0.0,0.0
Experiences ,,0.0,0.0
Beautiful landscapes,beautiful landscape,0.85,1.0
"Nature, culture, history, party, learn",nature culture history party learn,0.0,0.0
Exploration ,exploration,0.0,0.0
Exploration via geocaching,exploration via geocaching,0.0,0.0
"Beautiful landscape, learning other cultures",beautiful landscape learning culture,0.85,1.0
Freedom,freedom,0.0,0.0
The experiences and new cultures,new culture,0.13636363636363635,0.45454545454545453
To experiene the sheer wonder that travel provides ,sheer wonder travel provides,0.0,0.75
Culture and food,culture food,0.0,0.0
The experience,,0.0,0.0
Explore new places,explore new place,0.13636363636363635,0.45454545454545453
Experiencing different cultures,experiencing culture,0.0,0.0
Seeing new places,new place,0.13636363636363635,0.45454545454545453
"Desire to see the world, love of adventure, love of food",desire world love adventure love food,0.5,0.6
Experience other cultures and scenic landcsapes,culture scene landscape,0.0,0.0
I want to see the world,want world,0.0,0.0
"Visit new part of the world, meet new people",visit new part world meet new people,0.13636363636363635,0.45454545454545453
Seeing the world and meeting great people,world meeting great people,0.8,0.75
See new places,new place,0.13636363636363635,0.45454545454545453
Boredom,boredom,0.0,0.0
"History, culture, food",history culture food,0.0,0.0
"Food, seeing the sights, culture",food sight culture,0.0,0.0
Stuff,stuff,0.0,0.0
"change from the routine, exploring culture",change routine exploring culture,0.0,0.0
New experiences (culture),new culture,0.13636363636363635,0.45454545454545453
See the world,world,0.0,0.0
I love experienceing new things and places.,love experiencing new place,0.3181818181818182,0.5272727272727272
Exploring different cultures,exploring culture,0.0,0.0
"culture, history, scenery",culture history scenery,0.0,0.0
Fun,,0.0,0.0
Curiosity,curiosity,0.0,0.0
Break monotony ,break monotony,0.0,0.0
"Meeting people, photography ",meeting people photography,0.0,0.0
To see new things,new,0.13636363636363635,0.45454545454545453
"trying new things, experiencing other cultures, food",trying new experiencing culture food,0.13636363636363635,0.45454545454545453
Seeing new cultures,new culture,0.13636363636363635,0.45454545454545453
Experiences,,0.0,0.0
To escape my day to day normal boring life,escape day day normal boring life,-0.425,0.825
"Learn about different cultures, places, and experiences ",learn culture place,0.0,0.0
"See the world, especially nature",world especially nature,0.0,1.0
Other cultures and good weather,culture good weather,0.7,0.6000000000000001
Food and culture,food culture,0.0,0.0
Adventure,adventure,0.0,0.0
Seeing as much as possible,much possible,0.0,1.0
Vacation time,vacation time,0.0,0.0
History and Heritage,history heritage,0.0,0.0
"See new places and learn new things, eat new foods",new place learn new eat new food,0.13636363636363635,0.45454545454545453
New experiences,new,0.13636363636363635,0.45454545454545453
To see things in context,context,0.0,0.0
Freedom,freedom,0.0,0.0
"New experiences, interest in learning about the world etc",new interest learning world etc,0.13636363636363635,0.45454545454545453
"Seeing new places, enjoying adventures with my husband",new place enjoying adventure husband,0.3181818181818182,0.5272727272727272
Landscapes,landscape,0.0,0.0
See the world ,world,0.0,0.0
Experiences,,0.0,0.0
love of history,love history,0.5,0.6
"Adventure, meeting new people",adventure meeting new people,0.13636363636363635,0.45454545454545453
Adventure ,adventure,0.0,0.0
Seeing something new,something new,0.13636363636363635,0.45454545454545453
New experiences and cities,new city,0.13636363636363635,0.45454545454545453
Experiencing new things,experiencing new,0.13636363636363635,0.45454545454545453
"My curiosity, and wanting to know diferent things that im not used to.",curiosity wanting know in used,0.0,0.0
"Curiousity, mostly.",curiosity mostly,0.5,0.5
Exploring ,exploring,0.0,0.0
New experiences,new,0.13636363636363635,0.45454545454545453
