tip,tip_pr,tip_pol,tip_sub
have multiple ways to pay,multiple way pay,0.0,0.0
stay flexible,stay flexible,0.0,0.0
Watch your belongings.,watch,0.0,0.0
Walking will take you places cars can not.,walking place car,0.0,0.0
You can have a great trip for cheap,trip cheap,0.4,0.7
Walk a lot,walk lot,0.0,0.0
"Explore, live, socialize and have fun",explore live fun,0.21818181818181817,0.35
Don't rush,rush,0.0,0.0
do it,,0.0,0.0
Pay attention to your sourrendings,pay,0.0,0.0
Don't book too much in advance ,book much,0.2,0.2
Meeting a lovely elder couple in Naples,couple,0.0,0.0
"Plan ahead but not too much, enjoy the moment",plan much enjoy moment,0.4,0.5
Be open to people,open people,0.0,0.5
Buy toiletries at the airport -saves space/weight,buy toilet airport save,-0.03333333333333333,0.0
try all the food,food,0.0,0.0
Be confident,,0.0,0.0
Slow down,slow,-0.30000000000000004,0.39999999999999997
"GPS works without WiFi, so download maps before you go.",gas work without download map,0.0,0.0
Take more money than you think you need.,money think need,0.0,0.0
Do things you might regret,might regret,0.0,0.0
"Don't overbook, leave time for spontaneity",leave time spontaneity,0.0,0.0
don't rush,rush,0.0,0.0
Rent a car and explore,rent car explore,0.0,0.0
"stop dreaming or delaying,  start traveling",stop start traveling,0.0,0.0
Don’t be a dick. Use your braIn. All is fine.,use fine,0.4166666666666667,0.5
Get out of your comfort zone,comfort zone,0.0,0.0
Don't be a sucker.,,0.0,0.0
"Have fun, take risks, but plan for failures",fun risk plan,0.3,0.2
Be flexible and see something no one else has,flexible see something one,0.0,0.0
Put your phone away,put phone away,0.0,0.0
Get off the beaten track,beaten,0.0,0.0
Have an open mind and good shoes,open mind good shoe,0.35,0.55
"Pack light, stay curious, say yes",pack light stay curious say yes,0.15000000000000002,0.85
You won't go back so see what you want now.,wont back see want,0.0,0.0
"think less, just go",think le,0.0,0.0
Bali,,0.0,0.0
Plan ahead ,plan,0.0,0.0
Use local Facebook pages for food recommendations,use local food,0.0,0.0
Be cautious,,0.0,0.0
Pick the destination you want,pick destination want,0.0,0.0
Road trip California,trip,0.0,0.0
"Wherever you go, you take yourself - don't let your own baggage weight down the experience.",let weight experience,0.0,0.0
Be open to new experiences,open new experience,0.06818181818181818,0.4772727272727273
Get lost,lost,0.0,0.0
Always carry band aids.,carry,0.0,0.0
"Get out of the ""classic-touristic-route""",,0.0,0.0
"Be prepared, relax and enjoy",prepared relax enjoy,0.4,0.5
"Pack light, travel slow, and walk everywhere",pack light travel slow walk,0.04999999999999999,0.5499999999999999
"Drink bottled water, don't risk Delhi-belly",drink bottle water risk,0.0,0.0
Use credit card for all transactions,use credit card,0.0,0.0
Use credit card points for flights,use credit card point flight,0.0,0.0
Pre-book attractions with long queues to save time,attraction long save time,-0.05,0.4
Relax,relax,0.0,0.0
Don’t be overambitious and end up not enjoying yourself,,0.0,0.0
Don't be afraid to take a break,afraid break,-0.6,0.9
Use points and upgrade everything,use point everything,0.0,0.0
Make an effort ,make effort,0.0,0.0
Do less research and find out for yourself,le research find,0.0,0.0
Say yes ,say yes,0.0,0.0
Keep an open mind,keep open mind,0.0,0.5
Relax and enjoy! ,relax enjoy,0.4,0.5
"Fuck it, we'll do it live.",fuck well live,-0.13181818181818183,0.55
Be flexible,flexible,0.0,0.0
Enjoy the moment,enjoy moment,0.4,0.5
Plans change,plan change,0.0,0.0
Leave  day for wandering and recharging self,leave day self,0.0,0.0
"Eat the local food, it's usually cheaper.",eat local food,0.0,0.0
Shop around.,around,0.0,0.0
dont complain when something doesnt go perfectly enjoy the experience,something enjoy experience,0.4,0.5
"buys head of natives, good prices in markets.",buy native good,0.7,0.6000000000000001
do what works best for you,work best,1.0,0.3
be flexible,flexible,0.0,0.0
"invest in good travel backpack, get fee free checking account",good travel backpack free,0.55,0.7000000000000001
Regional fast food is a delicacy within itself,food,0.0,0.0
Don't go on tours unless necessary,tour,0.0,0.0
Get a little lost ,little lost,-0.1875,0.5
Go with the flow,flow,0.0,0.0
"Have a list of ideas and how-tos, wing it from there.",idea wing,0.0,0.0
Somewhere warm and lively,somewhere,0.0,0.0
Put down your phone and ask a local ,put phone local,0.0,0.0
"Don't worry so much, things will work out",worry much work,0.2,0.2
Plan time for sfun,plan time,0.0,0.0
never say no to an experience ,never say experience,0.0,0.0
Keep your important items separate,keep important,0.4,1.0
Do someting that you'll never do otherwise,something you never,0.0,0.0
Be open to changing your itinerary,open itinerant,0.0,0.5
Spend more money and less time,money le time,0.0,0.0
Dont worry,worry,0.0,0.0
Just have fun,fun,0.3,0.2
Be alert,alert,0.0,0.0
Say yes,say yes,0.0,0.0
"Plan to have an idea, not to follow through exactly",plan idea follow,0.0,0.0
Don't just do the main cities,city,0.0,0.0
Be spontaneous,spontaneous,0.6,0.9
Always bring your valuables with you no matter what,bring,0.0,0.0
Be Flexible,flexible,0.0,0.0
Don't be cheap,cheap,0.4,0.7
"Relax, wander and try new things out! Enjoy yourself.",relax new enjoy,0.2681818181818182,0.4772727272727273
Don't drink alcohol and stay twice as long,drink stay long,-0.05,0.4
"Research and plan ahead, but remain flexible and spontaneous",research plan flexible spontaneous,0.6,0.9
try to blend in with locals,blend local,0.0,0.0
"Do not plan too much, be spontaneous",plan much spontaneous,0.6,0.9
Switching to AirBnb from hotels changed ,hotel,0.0,0.0
Have fun and enjoy,fun enjoy,0.35,0.35
Eat outside of the big cities,eat outside big city,0.0,0.07500000000000001
do not get carried away with money,away money,0.0,0.0
Relax.,relax,0.0,0.0
"Plan ahead, make an itinerary and reservations for restaurants",plan make itinerant restaurant,0.0,0.0
Let go of your fears and experience new things.,let experience new,0.13636363636363635,0.45454545454545453
Get an unlocked smart phone.,smart phone,0.21428571428571427,0.6428571428571429
Leave the environment in better shape than when you arrived.,leave better arrived,0.5,0.5
5 days in Tokyo,day,0.0,0.0
Just go with it,,0.0,0.0
"Do research yourself, but take a few highlight tips",research,0.0,0.0
"Plan ahead, but don’t plan every detail. Allow surprises.",plan plan every allow,0.0,0.0
Go somewhere cheap so you can afford a better experience,somewhere cheap better experience,0.45,0.6
don't sweat the small stuff,small stuff,-0.25,0.4
"Plan ahead, pack light, open your mind, be safe.",plan pack light open mind safe,0.3,0.5666666666666667
Be selfish,,0.0,0.0
Plan for the worst,plan worst,-1.0,1.0
Go to Pacific Islands,island,0.0,0.0
Rent an apartment and buy local groceries ,rent buy local,0.0,0.0
KISS,,0.0,0.0
"Talk to people, even if you're the most introverted person.",talk people even your,0.0,0.0
Be open and roll with it.,open roll,0.0,0.5
Dont be an obnoxious american,,0.0,0.0
Be flexible; something will go wrong,flexible something wrong,-0.5,0.9
don't be afraid to look for long ways to get somewhere,afraid look long way somewhere,-0.325,0.65
Be flexible and open,flexible open,0.0,0.5
Tylenol PM,,0.0,0.0
Pack light!,pack light,0.4,0.7
"Save money, do research and have fun.",save money research fun,0.3,0.2
Be kind and interested in learning,,0.0,0.0
Research beforehand,research beforehand,0.0,0.0
Get up early and see sites before the hundreds of selfie sticks arrive!,early see site self stick arrive,0.1,0.3
Have a budget but don't be cheap,budget cheap,0.4,0.7
Be single,,0.0,0.0
"Pack light, comfortable shoes",pack light comfortable shoe,0.4,0.75
Always say yes,say yes,0.0,0.0
Don't be afraid to go places with many tourists.,afraid place many tourist,-0.04999999999999999,0.7
Improvise! ,improvised,0.0,0.0
visiting a country that is completely different from everything i have seen ,different everything,0.0,0.6
Don't plan too much,plan much,0.2,0.2
Leave the hostel,leave hostel,0.0,0.0
Plan,plan,0.0,0.0
"Research, push yourself outside your comfort zone, enjoy!",research push outside comfort zone enjoy,0.2,0.275
Bring wet wipes ,bring,0.0,0.0
"Pack light, be flexible, try new things, eat everything",pack light flexible new eat everything,0.2681818181818182,0.5772727272727273
Meet locals,meet local,0.0,0.0
slow down and plan on returning,slow plan,-0.30000000000000004,0.39999999999999997
Bring a jar of Peanut Butter,bring,0.0,0.0
Just do it,,0.0,0.0
"Go with the flow, relax",flow relax,0.0,0.0
Don't care about money,money,0.0,0.0
"Plan for the worst, expect the best.",plan worst expect best,0.0,0.65
Eat all the food ,eat food,0.0,0.0
Pack less,pack le,0.0,0.0
Pack light.,pack light,0.4,0.7
Only bring a small piece of luggage.,bring small luggage,-0.25,0.4
trust yourself,trust,0.0,0.0
drink bottled water only,drink bottle water,0.0,0.0
the DR,,0.0,0.0
Talk to the people at the hostel,talk people hostel,0.0,0.0
Don't be afraid to try something new.,afraid something new,-0.2318181818181818,0.6772727272727272
Dont forget birth control,forget,0.0,0.0
For big cities: use the park and ride for cheap multi-day parking,big city use cheap,0.2,0.39999999999999997
Hurry up and wait- Better to be early ,better early,0.3,0.4
Be open to experiences ,open experience,0.0,0.5
Plan ahead. ,plan,0.0,0.0
"extra effort will be rewarded (finding bars, views, etc)",extra effort bar etc,0.0,0.1
Don't be afraid to stray from your planned intinerary ,afraid stray planned,-0.6,0.9
Balance between spontaneity and plans,spontaneity plan,0.0,0.0
Melatonin for Jetlag. ,jetlag,0.0,0.0
Stay off the beaten path for the most part,stay beaten path part,0.0,0.0
"Make a plan, but accept it may very well change",make plan well change,0.0,0.0
Have fun.,fun,0.3,0.2
Over research but don't over pack.,research pack,0.0,0.0
Carry only half of what you've already packed,carry half you,-0.16666666666666666,0.16666666666666666
"Take photos, dodge scams, explore rural areas, try different foods",photo scar explore area different food,0.0,0.6
Don't worry about it.,worry,0.0,0.0
Late night city visits are best espacially in Italy,night city visit best,1.0,0.3
"Plan, but don't overplan!",plan overland,0.0,0.0
Stay at least two nights each location if bad weather. ,stay night location bad,-0.6999999999999998,0.6666666666666666
Relax,relax,0.0,0.0
Experience the locals!,experience local,0.0,0.0
Don't overplan and leave some grade of flexibility,overland leave flexibility,0.0,0.0
Pack light,pack light,0.4,0.7
"Pack less, move less",pack le le,0.0,0.0
Travel light,travel light,0.4,0.7
Travellers eat and travel local. Others are tourists.,eat travel local others tourist,0.0,0.0
life's short have fun yo,life short fun,0.15,0.25
Have a drink with locals - it's a different experience altogether,drink local different experience,0.0,0.3
Go with the flow and stray with the locals.,flow stray local,0.0,0.0
Always take pictures of you at the travel destinations,picture travel destination,0.0,0.0
Do your research ,research,0.0,0.0
Pack light,pack light,0.4,0.7
"Be approachable and friendly, minimalist, open minded; no preconceptions.",friendly open,0.1875,0.5
Pack one outfit into a carry on bag. ,pack one carry bag,0.0,0.0
Be flexible,flexible,0.0,0.0
Lax itinerary ,lax itinerant,0.0,0.0
Go with the flow,flow,0.0,0.0
Don’t cheap out on activities,cheap activity,0.4,0.7
Geocaching brings one to unique places,one place,0.0,0.0
Go with the flow,flow,0.0,0.0
Book the flights and go on your own ,book flight,0.0,0.0
Idk,,0.0,0.0
Don’t plan too much ,plan much,0.2,0.2
Don’t overthink things ,,0.0,0.0
Don't check luggage - carryon only,check luggage carron,0.0,0.0
"Always smile, treat others kindly; it will return to you.",others,0.0,0.0
Be flexible,flexible,0.0,0.0
"Go off the trail sometimes, I had the best travel experience of my life going in none tourist area.",trail best travel experience life going none tourist area,1.0,0.3
Go with the flow,flow,0.0,0.0
Go off the beaten path,beaten path,0.0,0.0
Do it yourself. Fuck travel agents. Read the fine print though.,fuck travel fine,0.008333333333333331,0.55
Do it.,,0.0,0.0
"don't worry too much, just enjoy the trip",worry much enjoy trip,0.4,0.5
Talk to locals and other travelers ,talk local,0.0,0.0
Enjoy,enjoy,0.4,0.5
Relax,relax,0.0,0.0
Immerse yourself in local culture,immense local culture,0.0,0.5
Visit a city early morning or night,visit city early night,0.1,0.3
"research and plan, but still allow for some flexibility/spontaneity ",research plan allow,0.0,0.0
To research everything,research everything,0.0,0.0
Don't be an asshole,,0.0,0.0
Try to find the less touristic places,find le tourist place,0.0,0.0
"Travel solo, be social and considerate",travel solo,0.0,0.0
Pack light,pack light,0.4,0.7
Don’t plan too much,plan much,0.2,0.2
"Pack light, eat local, have fun",pack light eat local fun,0.2333333333333333,0.3
"Have multiple plans, be flexible",multiple plan flexible,0.0,0.0
Dont think about money just do it,think money,0.0,0.0
"Pack light, be flexible, say yes",pack light flexible say yes,0.4,0.7
"Low expectations, high flexiblity",expectation flexibility,0.0,0.0
"Things will go wrong, but that’s okay. ",wrong that okay,0.0,0.7
it is ok to get lost,lost,0.0,0.0
"Be super alert and go back to hostel before dark, so get up early to explore",alert back hostel early explore,0.05,0.15
Backpack over suitcase,backpack,0.0,0.0
Expect the Unexpected,expect unexpected,0.1,1.0
"Just experience, let things happen to you",experience let,0.0,0.0
First trip to Spain as a kid. Started it all!,first trip,0.25,0.3333333333333333
Multiple locations ,multiple location,0.0,0.0
Find somewhere to eat randomly,find somewhere eat,0.0,0.0
be wary of scams,scar,0.0,0.0
"Don't be too rigid, feel free to explore",free explore,0.4,0.8
"Travel light, talk to people, leave the beaten path. ",travel light talk people leave beaten path,0.4,0.7
Build in some days with nothing planned ,day planned,0.0,0.0
Get a local sim card / data package,local card package,0.0,0.0
make sure all your documents are in order,make sure,0.5,0.8888888888888888
"Pick a few things to do before you arrive in a city, and flag them on your google maps. ",pick arrive city goose map,0.0,0.0
Studying abroad in Scotland ,,0.0,0.0
Don't book more than three nights of accommodation beforehand. ,book night beforehand,0.0,0.0
"Scott’s Cheap Flights or google flights, do tons of research",cheap flight goose flight research,0.4,0.7
Try as many different things as you can :),many different,0.25,0.55
Don't stubbornly stick to the most famous attractions,stick attraction,0.0,0.0
Go with the flow.,flow,0.0,0.0
Interact with the locals,local,0.0,0.0
Things will go wrong. That's part of traveling.,wrong that part traveling,-0.5,0.9
Just walk around and get a little lost.,walk around little lost,-0.1875,0.5
Just go,,0.0,0.0
Always boil/filter water and eat at reputable restaurants,water eat restaurant,0.0,0.0
Go with someone you can stand for that long ,someone stand long,-0.05,0.4
Comfort over style,comfort style,0.0,0.0
Never be afraid to go out of your comfort zone,never afraid comfort zone,0.3,0.9
Go where the locals go,local,0.0,0.0
take your time,time,0.0,0.0
Don't worry,worry,0.0,0.0
Mix solo travel with friend travel for maximum fun,solo travel friend travel fun,0.3,0.2
"Go alone, walk into a bar, and then talk with some local people",walk bar talk local people,0.0,0.0
Don't worry,worry,0.0,0.0
Dont expect every moment to be magic,expect every moment,0.0,0.0
Eat local,eat local,0.0,0.0
Be flexible,flexible,0.0,0.0
Do research before you get here but be flexible,research flexible,0.0,0.0
Be prepared,prepared,0.0,0.0
get the extra insurance for your rental car,extra insurance rental car,0.0,0.1
Never fly through JFK or LAX ,never fly lax,-0.4,0.9
Just go,,0.0,0.0
"Research before you leave, research at destination",research leave research destination,0.0,0.0
Dont have too many expectations ,many expectation,0.5,0.5
Use credit card points,use credit card point,0.0,0.0
Please don't act like a stupid tourist,act like stupid tourist,-0.7999999999999999,1.0
Take fewer pictures. Instead enjoy the moment. ,fewer picture enjoy moment,0.4,0.5
take each day as it comes,day,0.0,0.0
Just relax,relax,0.0,0.0
Plan loosely.,plan,0.0,0.0
pack lightly,pack lightly,0.4,0.7
Make sure to have internet access.,make sure,0.5,0.8888888888888888
Travel light,travel light,0.4,0.7
Travel as light as possible,travel light possible,0.2,0.85
Always pack a powerboard/strip as hotels never have enough power points,pack hotel never enough point,0.0,0.5
Talk to new people,talk new people,0.13636363636363635,0.45454545454545453
pack and plan ahead but be flexible,pack plan flexible,0.0,0.0
Act like a local,act like local,0.0,0.0
"Don’t be afraid to just sit, watch, and become part of the culture. ",afraid watch part culture,-0.6,0.9
Research and plan. Create custom map in Google Maps.,research plan map goose map,0.0,0.0
Bring half the clothes and double the money.,bring half clothes double money,-0.08333333333333333,0.08333333333333333
Don't plan everything and let if flow ,plan everything let flow,0.0,0.0
Push yourself to do the things you’re scared of ,push your,0.0,0.0
Remember to clear out your camera memory beforehand,camera beforehand,0.0,0.0
Take is easy,,0.0,0.0
Research,research,0.0,0.0
"Travel light, buy toiletries once you've arrived",travel light buy toilet you arrived,0.18333333333333335,0.35
Digital nomad for several years,,0.0,0.0
Always be aware but not anxious,,0.0,0.0
Greek islands by boat ,island,0.0,0.0
Relax. Get lost. But have a map.,relax lost map,0.0,0.0
Don't over plan and try living like a local,plan like local,0.0,0.0
stick out your thumb,stick,0.0,0.0
Steer off the beaten path and take your time.,beaten path time,0.0,0.0
Be flexible ,flexible,0.0,0.0
Don't do tourist stuff,tourist stuff,0.0,0.0
"Don't stress the small stuff, and it's all small stuff.",stress small stuff small stuff,-0.25,0.4
"Have fun, just go ",fun,0.3,0.2
Be flexible and curious ,flexible curious,-0.1,1.0
"research beforehand, learn some of the language",research beforehand learn language,0.0,0.0
Don't look up too many pictures,look many picture,0.5,0.5
keep passport and most money in moneybelt,keep money,0.0,0.0
Pack light,pack light,0.4,0.7
"eat always, eat light",eat eat light,0.4,0.7
Stay safe,stay safe,0.5,0.5
Don’t be stupid,stupid,-0.7999999999999999,1.0
Slow down! Stay in one place for longer,slow stay one place,-0.30000000000000004,0.39999999999999997
"Pay a little more for convenience and comfort from time to time, might make better experiences when you look back. E.g. hotel in better location, better flight time over early start etc.",pay little comfort time time might make better experience look back hotel better location better flight time early start etc,0.2354166666666667,0.3833333333333333
Plan only a couple things and improvise the rest.,plan couple improvised rest,0.0,0.0
It’s okay to take a break when you need,okay break need,0.5,0.5
Plan ahead,plan,0.0,0.0
Be flexible and live in the now.,flexible live,0.13636363636363635,0.5
Turn off your phone; be in the moment.,phone moment,0.0,0.0
Be prepared.,prepared,0.0,0.0
Don't be or act like a tourist. It's dangerous.,act like tourist,0.0,0.0
Always pack hygenie essentials/change of clothes in your carryon,pack clothes carron,0.0,0.0
Stay at hotels near food/shops. ,stay hotel,0.0,0.0
Meet locals,meet local,0.0,0.0
"Never panic, just relax",never panic relax,0.0,0.0
Be flexible,flexible,0.0,0.0
Research where you're going,research your going,0.0,0.0
Take the train vs. fly,fly,0.8,0.9
Don't over plan,plan,0.0,0.0
Be free,free,0.4,0.8
Go off the beaten path,beaten path,0.0,0.0
"There are no bad experiences, just funnier stories",bad experience,-0.6999999999999998,0.6666666666666666
Good attitude. Every experience is fantastic.,good every experience,0.7,0.6000000000000001
Be flexible and open-minded. ,flexible openminded,0.0,0.0
Find your own travel style,find travel style,0.0,0.0
always be open to new experiences and foods,open new experience food,0.06818181818181818,0.4772727272727273
Traveling through Europe without a map with my best friend,traveling without map best friend,1.0,0.3
Don't stress over small things. ,stress small,-0.25,0.4
Have a solid plan,plan,0.0,0.0
Be curious.,curious,-0.1,1.0
immerse yourself in the world around you,immense around,0.0,1.0
Wear sensible shoes,wear shoe,0.0,0.0
Naboo from Star Wars,,0.0,0.0
"Meet people, go out of your way",meet people way,0.0,0.0
Plan ahead!,plan,0.0,0.0
"Pack as little as possible, you're very unlikely to miss anything.",pack little possible your anything,-0.09375,0.75
Pack Lightly,pack lightly,0.4,0.7
camping among Norway's fjords ,,0.0,0.0
Have emergency funds,,0.0,0.0
Don't look like someone worth mugging.,look like someone,0.0,0.0
don’t try to see everything all at once,see everything,0.0,0.0
"Always carry polythins, and take less photo",carry le photo,0.0,0.0
Don't try to see it all on one trip,see one trip,0.0,0.0
Don’t overschedule yourself,,0.0,0.0
always wear comfortable walking shoes. not converse.,wear comfortable walking shoe,0.4,0.8
keep a journal,keep journal,0.0,0.0
"Stay in a hostel, no regrets.",stay hostel regret,0.0,0.0
Stop worrying about everything; you'll survive,stop everything you,0.0,0.0
Try something new!,something new,0.13636363636363635,0.45454545454545453
Plan for sporadic occasions.,plan,0.0,0.0
Research. Know what you want to do but get lost. ,research know want lost,0.0,0.0
"Bring less crap, optimize for weight.",bring le weight,0.0,0.0
Don't be afraid to allow yourself to get lost,afraid allow lost,-0.6,0.9
Do research but be flexible,research flexible,0.0,0.0
Make a planning but be flexible,make flexible,0.0,0.0
Never check a bag,never check bag,0.0,0.0
try to stay off tourist destinatino and meet locals,stay tourist destination meet local,0.0,0.0
"Cycling tour with tent, gas cooker, camera and weed",tour gas camera,0.0,0.0
be flexible & don't overplan or have too many expectations,flexible overland many expectation,0.5,0.5
Go with the flow,flow,0.0,0.0
"Research, but be spontaneous",research spontaneous,0.6,0.9
Stay at good hostels,stay good hostel,0.7,0.6000000000000001
"Don’t go to another continent for a short period of time, you’re barely getting over jetlag and coming back",short time your jetlag back,0.0,0.15
Go with the flow,flow,0.0,0.0
Rest well before the trip,rest well trip,0.0,0.0
carry a set of clothes in your carry on,carry clothes carry,0.0,0.0
"Do research ahead of time, go with a friend. have enough medicine",research time friend enough,0.0,0.5
"Plan, but be flexible.",plan flexible,0.0,0.0
Always have a backup plan,back plan,0.0,0.0
Have a specific currency exchange plan before arriving at your destination,plan destination,0.0,0.0
Carry a dummy wallet in case you are robbed,carry wallet,0.0,0.0
Always have a refillable water bottle,water bottle,0.0,0.0
Research car rental insurance,research car rental insurance,0.0,0.0
bring as little as possible,bring little possible,-0.09375,0.75
"Be flexible, don't plan too much, seek out on the go",flexible plan much seek,0.2,0.2
"Be flexible, don't plan too much, seek out on the go",flexible plan much seek,0.2,0.2
Do what suits you and be safe,safe,0.5,0.5
cut your luggage in half,cut luggage half,-0.16666666666666666,0.16666666666666666
Travel as if you won't ever again.,travel wont,0.0,0.0
Know basic language phrases,know language,0.0,0.0
Travel light. ,travel light,0.4,0.7
Eat street food. It's cheap,eat street food cheap,0.4,0.7
Be flexible and open to new/strange things ,flexible open,0.0,0.5
Do lots of research then just wing it,lot research wing,0.0,0.0
Take your time ,time,0.0,0.0
You don't need to follow your plan.,need follow plan,0.0,0.0
Don't waste your life thinking you can do it later,life,0.0,0.0
Travel light,travel light,0.4,0.7
Just do it but be aafe,safe,0.5,0.5
Don't drink anything that isn't packaged,drink anything package,0.0,0.0
just enjoy,enjoy,0.4,0.5
Research,research,0.0,0.0
Pack light,pack light,0.4,0.7
Just do it.,,0.0,0.0
Choose your partner wisely. Go with the flow.,choose flow,0.0,0.0
Blend of activity and relaxation,blend activity,0.0,0.0
Sleep well and drink responsibly,well drink,0.0,0.0
Do what you want to,want,0.0,0.0
you only live once,live,0.13636363636363635,0.5
"Be flexible, be spontaneous, relax",flexible spontaneous relax,0.6,0.9
Packing Cubes,,0.0,0.0
Research properly,research,0.0,0.0
Plan ahead but be flexible while travelling,plan flexible travelling,0.0,0.0
Plan ahead but be flexible while travelling,plan flexible travelling,0.0,0.0
Pack minimal,pack,0.0,0.0
Don't stress the small stuff,stress small stuff,-0.25,0.4
leave it at home,leave,0.0,0.0
"Do one cultural thing each day, then go have beer",one day,0.0,0.0
Arrive 3 hours at the airport before departure,arrive airport,0.0,0.0
"Decoy wallet, wire mesh for backpack, Powerbank, playing cards.",wallet backpack card,0.0,0.0
"Stay flexible, keep an open mind, embrace the unexpected. ",stay flexible keep open mind unexpected,0.05,0.75
Go with the flow,flow,0.0,0.0
Go with the flow,flow,0.0,0.0
Go with the flow,flow,0.0,0.0
"Have no expectations, every experience is important",expectation every experience important,0.4,1.0
Leave your comfort zone,leave comfort zone,0.0,0.0
Take a look behind you before leaving.,look behind,-0.4,0.7
Travel light.,travel light,0.4,0.7
"Bring fewer clothes, bring more money",bring fewer clothes bring money,0.0,0.0
"It's no big deal, and you'll see it for yourself.",big you see,0.0,0.1
"Plan ahead diligently, be flexible when you arrive",plan flexible arrive,0.0,0.0
Don’t check a bag,check bag,0.0,0.0
Go with the flow ,flow,0.0,0.0
Don’t panic.,panic,0.0,0.0
"Double your budget, cut the stuff you bring in half",double budget cut stuff bring half,-0.08333333333333333,0.08333333333333333
Pack lightly,pack lightly,0.4,0.7
Don't plan everything ,plan everything,0.0,0.0
Eat the local food,eat local food,0.0,0.0
Don't take checked in luggage if possible.,luggage possible,0.0,1.0
Journal your experience,journal experience,0.0,0.0
plan extra and secondary sites for flexibility ,plan extra site flexibility,0.0,0.1
Stand behind Asians at airports,stand behind airport,-0.4,0.7
Roll with the punches ,roll,0.0,0.0
Get off the Beaten Path/ Lonely Planet Trail,beaten path trail,0.0,0.0
enjoy even your down time,enjoy even time,0.4,0.5
Don't be afraid to engage with the native population,afraid native,-0.6,0.9
Choose beautiful places for your trips cos you'll never forget them,choose place trip you never forget,0.0,0.0
be safe,safe,0.5,0.5
download maps for offline use,download map use,0.0,0.0
Plan ahead,plan,0.0,0.0
Money is meant to be spent,money,0.0,0.0
"Do everything, even if it scares you",everything even,0.0,0.0
Be open-minded,openminded,0.0,0.0
"Be smart, respectful, and learn about a new culture",smart learn new culture,0.17532467532467533,0.5487012987012987
Use the loo ahead of time,use look time,0.0,0.0
Don't Panic,panic,0.0,0.0
Experiences are priceless,experience,0.0,0.0
Think like a local. Try new things. Street food.,think like local new street food,0.06818181818181818,0.22727272727272727
do your research!,research,0.0,0.0
First day after time zone change is a chill day. ,first day time zone change day,0.25,0.3333333333333333
Be prepared.  Google is your friend.,prepared goose friend,0.0,0.0
"dont be afraid, just do it!",afraid,-0.6,0.9
Never trust anyone,never trust,0.0,0.0
keep everything in a breast pocket,keep everything,0.0,0.0
Pack less,pack le,0.0,0.0
Avoid tourist traps,tourist,0.0,0.0
Be prepared for change. ,prepared change,0.0,0.0
Get a light backpack ,light backpack,0.4,0.7
Dont be afraid to talk,afraid talk,-0.6,0.9
Be friendly and open-minded,friendly openminded,0.375,0.5
"Research to be prepared, but also be prepared to not be prepared",research prepared prepared prepared,0.0,0.0
